latitude,longitude,score,timestamp
37.7749,-122.4194,85,2024-11-17 10:00:00
37.7849,-122.4294,75,2024-11-17 10:05:00
37.7749,-122.4194,85,2024-11-17 10:00:00
37.7849,-122.4294,75,2024-11-17 10:05:00
37.7649,-122.4094,95,2024-11-17 10:10:00
37.7549,-122.3994,65,2024-11-17 10:15:00
37.7749,-122.4194,85,2024-11-17 10:00:00
37.7849,-122.4294,75,2024-11-17 10:05:00
37.7649,-122.4094,95,2024-11-17 10:10:00
37.7549,-122.3994,65,2024-11-17 10:15:00
37.7749,-122.4194,85,2024-11-17 10:00:00
37.7849,-122.4294,75,2024-11-17 10:05:00
37.7649,-122.4094,95,2024-11-17 10:10:00
37.7549,-122.3994,65,2024-11-17 10:15:00
37.7749,-122.4194,85,2024-11-17 10:00:00
37.7849,-122.4294,75,2024-11-17 10:05:00
37.7649,-122.4094,95,2024-11-17 10:10:00
37.7549,-122.3994,65,2024-11-17 10:15:00
37.7749,-122.4194,85,2024-11-17 10:00:00
37.7849,-122.4294,75,2024-11-17 10:05:00
37.7649,-122.4094,95,2024-11-17 10:10:00
37.7549,-122.3994,65,2024-11-17 10:15:00
37.7749,-122.4194,85,2024-11-17 10:00:00
37.7849,-122.4294,75,2024-11-17 10:05:00
37.7649,-122.4094,95,2024-11-17 10:10:00
37.7549,-122.3994,65,2024-11-17 10:15:00
37.7749,-122.4194,85,2024-11-17 10:00:00
37.7849,-122.4294,75,2024-11-17 10:05:00
37.7649,-122.4094,95,2024-11-17 10:10:00
37.7549,-122.3994,65,2024-11-17 10:15:00
37.7749,-122.4194,85,2024-11-17 10:00:00
37.7849,-122.4294,75,2024-11-17 10:05:00
37.7649,-122.4094,95,2024-11-17 10:10:00
37.7549,-122.3994,65,2024-11-17 10:15:00
